MONTH,DAY,YEAR,FULL ADDRESS,NUMBER,PREFIX,NAME,SUFIX,SUB-ADDRESS,PARCEL ID,SUBDIVISION,COMMENT,,,,,,,,,,,,,,,,
January,04,2010,140 Turnstone Ln,140,,Turnstone ,Ln,,87B-1-5-125,Shenandoah,,,,,,,,,,,,,,,,,
January,08,2010,102 Dawn Heights Trl,102,,Dawn Heights,Trl,,,Dawn Heights,,,,,,,,,,,,,,,,,
January,08,2010,111 John Deere Ct,111,,John Deere,Ct,,34-7-1,Grace Church Meadows,,,,,,,,,,,,,,,,,
January,08,2010,102 Falcon Dr,102,,Falcon,Dr,,58A05-1-E-4,Wilde Acres,,,,,,,,,,,,,,,,,
January,13,2010,109 Harold Ct,109,,Harold ,Ct,,55N-1-1-80,Abrams Pointe,,,,,,,,,,,,,,,,,
January,13,2010,111 Harold Ct,111,,Harold ,Ct,,55N-1-1-79,Abrams Pointe,,,,,,,,,,,,,,,,,
January,13,2010,113 Harold Ct,113,,Harold ,Ct,,55N-1-1-78,Abrams Pointe,,,,,,,,,,,,,,,,,
January,13,2010,115 Harold Ct,115,,Harold ,Ct,,55N-1-1-77,Abrams Pointe,,,,,,,,,,,,,,,,,
January,13,2010,4220 Apple Pie Ridge Rd,4220,,Apple Pie Ridge ,Rd,,22-A-98A,Garage Business at 4218,,,,,,,,,,,,,,,,,
January,20,2010,101 Collington Ct,101,,Collington ,Ct,,75O-4-7-280,Wakeland Manor,,,,,,,,,,,,,,,,,
January,20,2010,119 Collington Ct,119,,Collington ,Ct,,75O-4-7-297,Wakeland Manor,,,,,,,,,,,,,,,,,
January,20,2010,315 Prestwick Ln,315,,Prestwick ,Ln,,75O-4-11-469,Wakeland Manor,,,,,,,,,,,,,,,,,
January,20,2010,313 Prestwick Ln,313,,Prestwick ,Ln,,75O-4-11-470,Wakeland Manor,,,,,,,,,,,,,,,,,
January,20,2010,311 Prestwick Ln,311,,Prestwick ,Ln,,75O-4-11-471,Wakeland Manor,,,,,,,,,,,,,,,,,
January,20,2010,309 Prestwick Ln,309,,Prestwick ,Ln,,75O-4-11-472,Wakeland Manor,,,,,,,,,,,,,,,,,
January,20,2010,307 Prestwick Ln,307,,Prestwick ,Ln,,75O-4-11-473,Wakeland Manor,,,,,,,,,,,,,,,,,
January,20,2010,305 Prestwick Ln,305,,Prestwick ,Ln,,75O-4-11-474,Wakeland Manor,,,,,,,,,,,,,,,,,
January,20,2010,303 Prestwick Ln,303,,Prestwick ,Ln,,75O-4-11-475,Wakeland Manor,,,,,,,,,,,,,,,,,
January,20,2010,301 Prestwick Ln,301,,Prestwick ,Ln,,75O-4-11-476,Wakeland Manor,,,,,,,,,,,,,,,,,
January,22,2010,237 Morlyn Dr,237,,Morlyn,Dr,,55L-2-3-105,Red Bud Run,,,,,,,,,,,,,,,,,
January,22,2010,238 Morlyn Dr,238,,Morlyn,Dr,,55L-2-3-140,Red Bud Run,,,,,,,,,,,,,,,,,
January,22,2010,240 Morlyn Dr,240,,Morlyn,Dr,,55L-2-3-141,Red Bud Run,,,,,,,,,,,,,,,,,
January,22,2010,241 Morlyn Dr,241,,Morlyn,Dr,,55L-2-3-103,Red Bud Run,,,,,,,,,,,,,,,,,
January,22,2010,243 Morlyn Dr,243,,Morlyn,Dr,,55L-2-3-102,Red Bud Run,,,,,,,,,,,,,,,,,
January,22,2010,245 Morlyn Dr,245,,Morlyn,Dr,,55L-2-3-101,Red Bud Run,,,,,,,,,,,,,,,,,
January,25,2010,201 Merlot Dr,201,,Merlot,Dr,,55L-1-2-219,Red Bud Run,,,,,,,,,,,,,,,,,
January,25,2010,120 Westbury Pl,120,,Westbury ,Pl,,53B-5-11,Westbury Commons,,,,,,,,,,,,,,,,,
January,29,2010,109 Puma Trl,109,,Puma ,Trl,,58A03-A-11-5,Wilde Acres,,,,,,,,,,,,,,,,,
January,29,2010,104 Beta Trl,104,,Beta ,Trl,,69A-1-30-41,Shawneeland,,,,,,,,,,,,,,,,,
